session_key,subject,condition,trial,window_index,time_minutes,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
b_neutral_2,b,neutral,2,20,0.8333333333333334,9.044920184537911,5.599872178747814,7.386772878191314,2.5344890210086586,1.615201185995721,1.3190966940683042,0.758094538858892,0.8166764026087081,1.5,other
b_neutral_2,b,neutral,2,21,0.875,24.321443671844428,10.712503772648052,8.46689120917124,2.9864648918883967,2.2703790064413996,0.7903746303258745,1.2652227964195866,0.34812453254873543,2.5,other
b_relaxed_1,b,relaxed,1,0,0.0,11.253209398901749,10.268813333624538,8.85520774843463,3.067784748574432,1.0958626896112595,0.8623399277732363,1.159635507754157,0.7869050894315403,1.5,other
b_relaxed_1,b,relaxed,1,1,0.041666666666666664,9.835917391608302,10.597229791299167,9.027031503119904,2.8184883290766933,0.9281593006206263,0.8518293630408514,1.1739440354934592,0.9177620290733111,1.5,other
b_relaxed_1,b,relaxed,1,2,0.08333333333333333,11.342008718829685,9.951028058666736,9.757409484849067,3.097596182601846,1.1397826085870082,0.9805428572127239,1.0198432354528437,0.8602893655556876,1.5,other
b_relaxed_1,b,relaxed,1,3,0.125,10.087157013091495,9.427033411618677,8.943350236727571,2.933654057549415,1.0700245318595378,0.9486918997979817,1.0540829959789306,0.886607616508849,1.5,other
b_relaxed_1,b,relaxed,1,4,0.16666666666666666,10.331358214751036,9.733244201427155,9.727361458470215,3.1614601949292775,1.0614506325893047,0.9993956030656174,1.000604762450954,0.9415375264581921,1.0,other
b_relaxed_1,b,relaxed,1,5,0.20833333333333334,12.03924125156145,12.095411108617906,10.46523453870562,3.2207919086607864,0.995356101867721,0.8652235500494236,1.1557706675261874,0.8692603063626051,1.0,other
b_relaxed_1,b,relaxed,1,6,0.25,13.335801387350205,15.716602171473117,9.975631389373591,3.265097633045043,0.8485168258286607,0.6347193420394744,1.575499490509946,0.7480338900994781,1.0,other
b_relaxed_1,b,relaxed,1,7,0.2916666666666667,10.533312425598432,12.635396505831206,8.282186690581213,2.4893974279861695,0.833635289619707,0.6554750131314837,1.525611167422803,0.78628510728055,1.0,other
b_relaxed_1,b,relaxed,1,8,0.3333333333333333,8.68822220812024,8.749153900734646,7.253718246515533,2.505061101625851,0.9930357045600388,0.8290765402933941,1.2061612546003526,0.8348909676522797,1.0,other
b_relaxed_1,b,relaxed,1,9,0.375,9.265587983470564,7.382373680794929,7.929214119812995,2.228728984185815,1.2550960414771162,1.0740737955924202,0.9310347241536009,0.8557702041099167,1.0,other
b_relaxed_1,b,relaxed,1,10,0.4166666666666667,9.037612431525751,5.62492128216959,7.538138150940885,2.021411596314172,1.606709139232585,1.3401322032427352,0.7461950377584293,0.8340851312284342,1.0,other
b_relaxed_1,b,relaxed,1,11,0.4583333333333333,8.857929881220953,7.578303300105988,7.999635625875927,2.733492948627994,1.1688539677604441,1.0555971843676468,0.9473310603789151,0.9031044197849621,1.0,other
b_relaxed_1,b,relaxed,1,12,0.5,9.265025091716819,13.197397667268334,7.879941944410194,3.090686512978558,0.7020342438188075,0.5970830115965753,1.6748089973721432,0.8505041126607498,1.5,other
