session_key,subject,condition,trial,duration_sec,num_windows,theta_power_mean,theta_power_std,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,gamma_power_mean,gamma_power_std,theta_alpha_mean,theta_alpha_std,beta_alpha_mean,beta_alpha_std,alpha_beta_mean,alpha_beta_std,beta_theta_mean,beta_theta_std,dominant_freq_mean,dominant_freq_std
b_relaxed_1,b,relaxed,1,7.8125,6,8.71061903143362,1.6975232955233739,5.7223941281307455,1.2255517319091054,7.717632761709537,0.9685330422270394,2.156319931435094,0.29198496424331105,1.6248158769630445,0.5258193193361731,1.4001606903950357,0.3059563536951853,0.7434031760993283,0.1356604090636881,0.9311767023863999,0.2637291252353419,1.8333333333333333,0.8975274678557508
b_relaxed_2,b,relaxed,2,7.8125,6,21.87877773209317,7.539172877427472,11.290066616638349,3.6155182854648777,11.593821664348951,1.1481883697184652,3.6075997952054926,0.49174572703341995,2.0742378346520693,0.8737245163344165,1.100998083905291,0.25414449376234716,0.9592730351310678,0.2270622765039466,0.5895997628543291,0.17930880515829564,2.1666666666666665,1.3437096247164249
c_concentrating_1,c,concentrating,1,7.8125,6,196.6720185103969,201.3212070409528,69.70569458962296,71.9092302502509,168.6115257105848,176.88143535571638,96.2501111153611,106.82034292209684,2.711309956787474,0.6850922934568459,2.432513157030305,0.42977456362858796,0.42760908173941375,0.09533052408633726,0.9845666456958461,0.3597792783340097,1.1666666666666667,0.3726779962499649
c_concentrating_2,c,concentrating,2,7.8125,6,30.700722293921768,19.23892455979525,11.23945913820834,4.239077080442429,40.9795622971022,2.2388609580320513,21.478124647346476,2.934354701664883,2.468977801504538,0.771159049741315,4.250932855077754,1.6282411341802854,0.27401078997912137,0.10484618260252987,2.144921053982866,1.405259809785393,1.5,0.5
c_neutral_1,c,neutral,1,7.8125,6,44.92750779530146,35.58446614129873,16.061994065018734,5.932253263857637,15.794396413711162,3.2571645957992064,5.037420394527863,0.6299970139367986,2.538063375880453,1.3019316447789726,1.040013297979349,0.19739752289760087,1.0003394728455979,0.20619447450743594,0.6326068702264439,0.49694504803462386,1.3333333333333333,0.4714045207910317
c_relaxed_1,c,relaxed,1,7.8125,6,15.109188622327949,7.7405890914343916,5.955500605274222,2.0516994275742206,8.90829463631678,1.9166394710329953,3.030819155716388,0.3166158741560568,2.41424591913754,0.436560934222162,1.5592630200618907,0.21927726341278445,0.6541758149823447,0.09186727739833452,0.6758000476884999,0.18326345917530507,1.8333333333333333,1.0671873729054748
c_relaxed_2,c,relaxed,2,7.8125,6,6.7262621241309715,1.3743331241117624,5.730495977985901,1.8385352643578394,6.937778199117628,0.7895075647287082,3.416023109056045,0.5631947562776051,1.2945535567294548,0.4497984690510775,1.3280642335804276,0.4167938477649425,0.8332067792591847,0.2652036601674037,1.0517830679308948,0.1298146899297663,1.8333333333333333,0.6871842709362768
d_concentrating_1,d,concentrating,1,7.8125,6,91.0386933180102,31.277432039569813,21.754350180174765,3.1947429172132384,361.5164400633517,47.50847399846406,213.01515063262852,34.828938531036805,4.373893911334001,1.778444320730191,17.04773386905102,3.8789871074668816,0.061452252146045605,0.01243202739367239,4.509575092351834,1.600268040004956,1.6666666666666667,0.9428090415820634
d_neutral_1,d,neutral,1,7.8125,6,155.9151462067133,155.35632976448323,44.71438863692715,35.30756400157836,24.555127298192016,4.66037853708174,10.910015868522335,4.962474506970511,2.597612309880041,1.5011700193482909,1.024252152602789,0.6461056341046868,1.6355158335438948,1.1304074399245407,0.8413758417506996,1.0065262245777464,1.0,0.0
d_neutral_2,d,neutral,2,7.8125,6,44.12485925846787,33.897521087739484,7.74423586422499,2.152939291914832,17.250324235032217,7.573737275821734,8.248813035084876,5.658495462025009,5.185413619524543,2.786380267171797,2.4524550338040156,1.4137663807309786,0.5425874859595875,0.25419580457915325,0.6325868876015536,0.3986706632194136,1.3333333333333333,0.4714045207910317
d_relaxed_1,d,relaxed,1,7.8125,6,32.48060148679903,27.770245403009678,28.778287266276212,12.78993052161159,8.551222604086083,3.6038950833510937,1.4809267485801458,0.543846324954107,1.0673446028424032,0.44972936540167624,0.33003426148759224,0.12164707076749308,3.542846235437463,1.4470650633640862,0.3278571755365502,0.0825535858415909,1.1666666666666667,0.3726779962499649
d_relaxed_2,d,relaxed,2,7.8125,6,31.008255130259275,5.622373050776668,22.967644482844303,6.612993790740682,18.84734684291155,1.8255003505912313,4.919054736007799,0.43715797357501696,1.492595815059918,0.5628693128667299,0.8868153432901008,0.24654589118190035,1.2381577540173225,0.4015628577155414,0.6319126481667013,0.15006099526908712,1.1666666666666667,0.3726779962499649
