session_key,subject,condition,trial,window_index,time_point,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
b_neutral_1,b,neutral,1,5,5.0,30.282071298516207,10.15739517656686,13.981888341777086,5.8645987810612805,2.981283170746082,1.3765230257097156,0.7264680512586517,0.46172166375099266,2.0,other
b_neutral_2,b,neutral,2,0,0.0,11.172775487965541,5.297554094005523,9.004941177456868,2.259173850111829,2.109044153151387,1.699829962594711,0.5882941364755958,0.8059717289724743,1.0,other
b_neutral_2,b,neutral,2,1,1.0,39.32547547210963,7.82929193933834,10.744236188551987,3.34641709687898,5.022864874219144,1.3723126269653436,0.7286969312607323,0.2732131286288452,2.0,other
b_neutral_2,b,neutral,2,2,2.0,39.6604726891283,8.295576690585726,9.576655857652527,3.077230401072284,4.780918092667044,1.154429187366882,0.8662289648799362,0.2414660040165803,2.0,other
b_neutral_2,b,neutral,2,3,3.0,32.55833816988225,7.638391841891483,11.366153062094577,4.836233839829008,4.262459800938921,1.4880295875577907,0.67202964804029,0.34910114277910903,2.0,other
b_neutral_2,b,neutral,2,4,4.0,38.244731174046485,8.695186803927584,13.516654089000857,5.943865063666228,4.39837947550149,1.5544984131790516,0.6432943202270205,0.3534252607892165,2.0,other
b_neutral_2,b,neutral,2,5,5.0,12.08954998762701,9.611016371590285,10.109424027892974,3.71890118935525,1.2578846523831917,1.0518579551873368,0.9506987089543846,0.8362117728318601,2.0,other
b_relaxed_1,b,relaxed,1,0,0.0,12.031290754384143,5.58267017928529,7.10377801089035,2.486238135199265,2.1551140167704523,1.272469585835321,0.7858734001438183,0.590441886569965,1.0,other
b_relaxed_1,b,relaxed,1,1,1.0,7.393556813375026,7.1365753381180195,9.089674546146966,2.311436363124337,1.0360090748127344,1.273674572956165,0.7851299077746575,1.2294048420245645,1.0,other
b_relaxed_1,b,relaxed,1,2,2.0,8.619459125717547,5.847845060378185,6.392390408395145,1.856527286797753,1.4739547708126386,1.0931189767161418,0.9148135027388491,0.7416231477126467,1.0,other
b_relaxed_1,b,relaxed,1,3,3.0,8.725966339864652,4.558038641308973,7.032955723293584,1.665104535533808,1.9144125415660667,1.5429785214093463,0.6480971615124018,0.8059801573108832,2.0,other
b_relaxed_1,b,relaxed,1,4,4.0,8.90024828177321,3.932309963158162,7.918908361593665,2.291332621470785,2.2633638663176847,2.0138057365227997,0.4965722273324542,0.8897401635200191,3.0,other
b_relaxed_1,b,relaxed,1,5,5.0,6.593192873487138,7.2769255865358495,8.768089519937513,2.327280646484615,0.9060409914986914,1.2049167489304402,0.8299328570937891,1.3298700171803215,3.0,other
b_relaxed_2,b,relaxed,2,0,0.0,22.722050381991444,17.317683604074933,12.836690417687134,3.9905951290163246,1.312072151303471,0.7412475427525769,1.3490769848444446,0.5649441930584294,1.0,other
b_relaxed_2,b,relaxed,2,1,1.0,23.606223550377603,15.165387893841148,13.350619462181372,3.7044405438890813,1.5565855430552082,0.8803348490415616,1.1359314027937442,0.5655550721058819,1.0,other
b_relaxed_2,b,relaxed,2,2,2.0,16.222186701311347,7.614075226452815,11.628801046473251,3.2520598534053153,2.1305524596016907,1.5272768787563955,0.654760124971094,0.7168454697622989,1.0,other
